genename.genes	logFC	logCPM	LR	PValue	qvalue
0610007P08Rik	0.356031131677721	5.77468323517395	8.45333390324077	0.00364374887548872	0.0240515546135702
0610007P14Rik	0.367139752354741	4.75513223342126	8.43367184093193	0.00368335813197837	0.02424105301537
0610009D07Rik	0.393977578205566	5.80300915348989	8.04299732390853	0.00456798908953557	0.0287688873897174
1100001G20Rik	-4.41390234462214	-1.52350304161247	11.9934970069125	0.000533865154093406	0.00527179986533266
1110002B05Rik	0.61613159089483	6.5157998708468	26.5264108811756	2.59959654893252e-07	9.3081876723399e-06
1110002E22Rik	-1.00470347480543	3.14036645395975	9.18640629451553	0.0024381912844874	0.0175755260241267
1110004E09Rik	0.394277722538917	4.61410919739176	7.87006185935086	0.00502599337836581	0.0309606761075066
1110008F13Rik	0.596675278127712	5.5937971718449	16.0487124015871	6.17335921004553e-05	0.000952033024361946
1110008P14Rik	0.738383818766975	3.10526327109393	6.84908066355544	0.00886868968022307	0.0475119058320407
1110012D08Rik	0.645813958226356	6.01690713700972	15.0704567339022	0.000103571641904868	0.00144222052140292
1110020G09Rik	-0.582291148996057	4.64560765534559	9.48507048315539	0.00207150655735324	0.0155096197798222
1110032F04Rik	-1.76694565011334	-0.449789506704979	18.9030035676806	1.37535952860933e-05	0.000269949207389358
1110034G24Rik	-0.617146835972454	3.23139763509135	9.86855314490369	0.00168127670324754	0.0131648701854996
1110065P20Rik	0.704158482550198	3.64588626697208	14.7859526159698	0.000120429269759359	0.00162901830955512
1190002N15Rik	0.516566386482489	5.30949418293498	11.5411735408402	0.000680716579937335	0.00641159479231107
1200016B10Rik	-0.405558683695803	5.35057354144542	9.33077870144093	0.00225336577214481	0.0165867647631295
1300001I01Rik	0.483426767820334	7.47162603231659	15.1648801611294	9.85188242825892e-05	0.00138137554501653
1500032L24Rik	0.396535184315709	5.19879816887882	7.28220580919115	0.00696409686710336	0.0397259850313445
1600012F09Rik	0.440728643583351	4.81366740478604	8.75814926378891	0.00308221668993191	0.021128956458294
1700017B05Rik	0.470543532655523	6.13941338611869	12.2894699965921	0.000455521076728595	0.00464034709312436
1700019N12Rik	0.961754894649628	0.12091478279199	7.34146606076163	0.00673818634366378	0.0387193250414458
1700024P16Rik	2.65939159238245	4.7652871314784	70.1062570658124	5.6194439073938e-17	2.04860973135448e-14
1700025G04Rik	-0.671391020795828	5.45952898088985	24.0622820843796	9.32694397605431e-07	2.80818226362372e-05
1700025K23Rik	-0.767133285818851	2.22671146862501	9.49582436921419	0.00205940034383023	0.0154496451735085
1700026J04Rik	-1.32113233298871	-1.02599748336077	8.50963486990674	0.0035327094082414	0.023521075395351
1700028P14Rik	-1.17326466415947	1.88026649287354	13.5912959614914	0.000227236698066413	0.00271886381321632
1700029J07Rik	-1.22315496833226	3.96897192360515	36.046812392138	1.92633649283796e-09	1.35311641760566e-07
1700036A12Rik	-2.70646836001566	-2.21789464701412	12.6079163575183	0.000384116455492937	0.00408072510404321
1700040L02Rik	-1.48336648751377	1.48053483686841	26.5046538437903	2.62903990191534e-07	9.35433429420694e-06
1700048O20Rik	-0.736288414970707	4.18244896137316	14.5347246584591	0.000137599746966495	0.00181383709131055
1700049E17Rik1	3.95574960353126	-3.13495318607937	8.5369875584112	0.00348001109469854	0.0232253291946742
1700057K13Rik	3.16397157275415	-2.40713950368459	17.4247915780407	2.98901925606751e-05	0.000518081139644812
1700084C01Rik	-1.43746623763094	-1.74258187099351	9.6410472007032	0.00190276724783471	0.0145158621122978
1700094D03Rik	-0.902060126887794	4.2517767886151	30.3167100601924	3.66950985691699e-08	1.75716239019554e-06
1810009A15Rik	0.45002685626581	4.73719350743333	7.34327332391862	0.00673141557405786	0.0387104265673387
1810011O10Rik	-0.5339839741545	5.57028669884936	9.81444885435551	0.00173146155633068	0.0134395260347929
1810031K17Rik	-0.654406651567097	6.18795015351446	22.2772510439872	2.35985802353964e-06	6.20313507416956e-05
1810033B17Rik	-1.20304145183996	0.0742152753734873	10.9549576326119	0.000933535067810578	0.0082805263349501
1810041L15Rik	1.40180128784153	4.13993246240185	10.6911546415591	0.00107648997082599	0.00925714770735823
1810055G02Rik	0.532539631375788	5.49364836643693	12.381976702812	0.000433497977540115	0.00446715849144442
1810062G17Rik	-1.51090949548872	-1.28960220999387	11.8708136226826	0.000570204967611394	0.00554908377517232
2010012O05Rik	0.401979994095623	4.19066842095688	9.67534583828164	0.00186757112827026	0.0142967830353026
2010107E04Rik	0.494517316954361	5.5101277881242	7.08967219217989	0.00775294271087353	0.0429842782359525
2010107G23Rik	-0.82515793568302	1.73138779902579	6.91376927799633	0.00855344925032245	0.0462719062437434
2010109K11Rik	0.45046782154556	4.99013900133544	9.76287420455065	0.00178071297248952	0.0137307541893974
2010110P09Rik	-0.703679390138483	3.75914350570485	11.5979841355639	0.000660233467231484	0.00625576133118609
2010111I01Rik	-0.73593839134532	6.28487422311312	34.7676609451317	3.71493312746729e-09	2.34695121842663e-07
2010300C02Rik	-0.962277341579371	3.72800594634542	20.1311498382375	7.23093691344249e-06	0.000159683788561206
2010305A19Rik	0.541484182604011	3.76279905730101	12.9643279218059	0.000317482408185962	0.00353185282303122
2200002D01Rik	-0.743314491055711	2.19418289601158	7.33012166953104	0.00678084636585987	0.0388896546336347
2210016F16Rik	0.465207696046687	5.15783903587704	14.9754442823569	0.000108919348057723	0.00150444003857617
2210404O07Rik	-0.688234843028178	2.00397571642854	7.3874152103894	0.00656818107932725	0.0379977135385222
