genename.genes	logFC	logCPM	LR	PValue	qvalue
1110003E01Rik	-0.598206944770025	6.83612194003799	11.5278709394534	0.000685604882910808	0.0162369343835682
1110012J17Rik	1.48789995657035	4.09241516130259	13.7615123005376	0.000207544950516604	0.00661463332455916
1110018J18Rik	-1.44655206510669	5.8557306221381	28.7097415323083	8.40797216347245e-08	1.76392910350283e-05
1110020G09Rik	-1.29643575796667	4.64560765534559	22.081221328127	2.61353981860723e-06	0.000258310659938611
1110021L09Rik	-0.722840356829349	4.31534461864765	10.7070873799453	0.00106725908825412	0.0222017844757672
1110028C15Rik	-1.07883037029874	5.15413081873983	28.5587709782465	9.08971455745031e-08	1.88913151708953e-05
1190002N15Rik	-0.65157778994942	5.30949418293498	9.00259288372772	0.00269596839821036	0.0425499966212931
1700003E16Rik	-2.15905763966042	0.389157140273962	14.4283501709457	0.000145593915646364	0.00515560110850929
1700016C15Rik	5.57535728133398	-2.91240362101497	9.0003639957977	0.0026992583928931	0.0425717079015297
1700028P14Rik	-1.69983226674662	1.88026649287354	12.0443186602311	0.000519504720637558	0.0131430557196109
1700029J07Rik	-1.14559599453568	3.96897192360515	14.9057878837903	0.000113015711217265	0.00429819538995613
1700040L02Rik	-1.37434931034397	1.48053483686841	10.4088809836334	0.00125410715826651	0.0246150352917306
1810009A15Rik	0.78989260913518	4.73719350743333	11.5279786812332	0.000685565148975778	0.0162369343835682
1810041L15Rik	-2.69302428415117	4.13993246240185	18.4993709950515	1.6996038183778e-05	0.00105738533644135
1810074P20Rik	0.466483714542087	5.79643415717916	9.0774843045703	0.00258775788102206	0.0412816067131769
2010110P09Rik	-0.934700091951979	3.75914350570485	9.24576864803602	0.00236040198148971	0.0386213691729077
2410066E13Rik	-2.32565374809049	6.53033322640021	51.7344744486457	6.35372638973622e-13	2.45179051787161e-09
2410089E03Rik	-0.686041779616432	6.00382405792949	11.4714258787857	0.00070674435082332	0.0165923321899296
2510009E07Rik	-0.621555149024701	6.38750136332846	8.61022235814578	0.0033428148952034	0.0493609014870738
2610018G03Rik	-1.70354371628569	3.42895787889183	16.1422866905688	5.87573651480479e-05	0.00261852963158775
2810055F11Rik	-1.34603883376056	4.05848307724977	15.9934164778651	6.3563137876457e-05	0.00277704726934509
2810405K02Rik	-1.08423226424023	3.48221391319622	10.3771133506821	0.00127587019165085	0.0249321628487976
2900092E17Rik	-0.712572312454576	6.56480779720463	8.92202443925405	0.00281752023142691	0.0438460566175449
3632451O06Rik	-2.39962065570937	4.28260072177188	40.2823868261163	2.19781503071272e-10	1.57661324687063e-07
4930402H24Rik	-0.516361035894931	6.56704675301334	10.6973259295463	0.00107290499404378	0.0222775548623207
4930451C15Rik	-2.60826860434802	1.5054294011754	21.5850470531719	3.38480462307561e-06	0.000316138811063866
4930473A06Rik	-1.28189769570691	2.90209649973955	15.406580052256	8.66859153595057e-05	0.00353710346011869
4930534B04Rik	-0.797396393998411	3.96937571195742	12.5683914185246	0.000392326125313683	0.0105115040659346
4930539E08Rik	2.19840031081544	-1.27830630563872	9.59795235718124	0.00194794469783038	0.0334763479059907
4932418E24Rik	-2.06780690613612	3.10055020611686	10.9059071026354	0.00095858087410208	0.0207954264877833
4933426M11Rik	-0.468493267688426	6.81353828810024	9.41529023841735	0.0021518349992955	0.0360998159137162
4933432B09Rik	-1.32572593831997	2.74713959860023	10.5190129237637	0.00118152577506313	0.0235648163101829
5033414D02Rik	-0.743193613894336	5.17669435435714	10.8864722909491	0.000968691489979352	0.0208151838812543
5330426P16Rik	-0.701645716410309	4.16443912725449	8.8527947215453	0.00292640470198344	0.0449429473499363
6330406I15Rik	-1.17284224277127	5.43617380813708	16.1429865276807	5.87356585981483e-05	0.00261852963158775
6330439K17Rik	-1.60831283391093	4.08501398481316	19.5079116015929	1.00183883729282e-05	0.000707266414721198
6430527G18Rik	-0.702026482773026	6.4143916085953	13.5888590027224	0.000227531886599281	0.00704715054901783
9030224M15Rik	-1.38494531344734	3.67006489342471	12.0449516231351	0.000519328347592759	0.0131430557196109
9030425E11Rik	-1.00873381590693	7.27289249734173	19.8002361269141	8.59720552642612e-06	0.000637282188322214
A330021E22Rik	-1.21333530139164	3.39335729913305	22.5579269053773	2.0390144632249e-06	0.000210900482014862
A430107O13Rik	-1.10321561864258	7.8773891279379	23.7213755090229	1.11339035013244e-06	0.000131003040244684
A430110N23Rik	-0.922735875256885	5.80431985919011	9.84709637154936	0.00170100034267559	0.0303741618167602
A4galt	0.867490156452774	6.23925394080652	15.469797567924	8.38341757989917e-05	0.00343334143907547
A730011L01Rik	0.569361980190914	5.789136576774	11.4637500068782	0.000709669493013654	0.0166028809498738
A930001N09Rik	-1.74644063440067	6.09830392555385	43.3116477401734	4.6679650054593e-11	5.1903102895702e-08
AW551984	-2.11701759849336	4.52237335518967	33.846287218949	5.96428050538435e-09	2.00960105876875e-06
Aard	-1.43287425667891	3.66987350661186	15.2756769209163	9.29051412958652e-05	0.00370920023723061
Abat	-0.776715954782822	5.33873168277333	10.0890960066751	0.00149149257344348	0.0276859865177263
Abca2	-0.663015736159429	6.22194478045416	8.62233755969924	0.00332065436059245	0.0492298077805699
Abca5	-0.710600817733328	5.22378626611031	8.60760312907192	0.00334762558978195	0.049366377894941
Abca6	-1.95927326091835	3.48570527702504	22.4688818140142	2.13575646978262e-06	0.00021786675401388
Abca7	-0.805346645266664	5.6347113488746	11.1134215676976	0.000857052328556318	0.0191356723719231
Abca8a	-2.98444956054846	5.99169829167432	40.6608393014905	1.81079986738416e-10	1.38857129140997e-07
