genename.genes	logFC	logCPM	LR	PValue	qvalue
0610007C21Rik	-0.585081218789328	5.58974769875094	15.1700191414089	9.82510548312708e-05	0.000339798904718165
0610007L01Rik	1.32824500978375	6.78189308662553	111.170322502101	5.42993258390877e-26	1.7731400998673e-24
0610007P22Rik	0.625672205434103	5.01427221303301	20.9891800455398	4.61884519304346e-06	1.92853697714796e-05
0610009B22Rik	-0.622893512802648	3.39311088680105	11.4767039583824	0.000704740035895176	0.00211927098285827
0610009D07Rik	0.844761388252669	5.80300915348989	36.9968850153955	1.18318117164191e-09	7.88953010344009e-09
0610009L18Rik	-1.92579134295439	2.38487066069675	51.4785877436257	7.23822590144409e-13	7.0382014690124e-12
0610010F05Rik	0.370855591929983	4.67705098379573	8.85036620347213	0.00293030093348321	0.00786245561761578
0610010K14Rik	0.388464595087672	4.61046699177826	6.81567771368617	0.00903610047821743	0.0219252375815165
0610010O12Rik	0.768568611593962	4.71172979807241	15.5858107397621	7.88440441949606e-05	0.000276944219682125
0610011F06Rik	-0.648830660466419	4.71543868665821	16.4768650641964	4.9247348430867e-05	0.000178831243371264
0610011L14Rik	0.718615055520282	5.27884441391253	36.974557191149	1.1968079915258e-09	7.97322232341242e-09
0610031J06Rik	-0.751873815573238	5.88034258584567	35.2468619162593	2.90449729562899e-09	1.863000024811e-08
0610037L13Rik	0.302805396533983	6.0500039984295	8.35542649595538	0.0038453719923163	0.0100621789483373
0610037P05Rik	-0.472766877276772	4.94219039796988	11.7248736414609	0.000616702359937851	0.00187660469079063
0610040J01Rik	-0.567381609727798	3.56385181223417	6.47149460956333	0.0109618305850615	0.0260994848555245
0910001L09Rik	-0.574943795025803	4.44604124635092	10.5524052248572	0.00116036992356247	0.00335513019895752
1110001A16Rik	-0.940469336236244	2.91091662782423	16.736690794891	4.29424371158011e-05	0.000157401337824491
1110002B05Rik	-0.316152600664331	6.5157998708468	6.86341667904604	0.00879781664618375	0.0214124818406298
1110002E22Rik	-2.34688941726416	3.14036645395975	44.2826709219448	2.84221097579956e-11	2.2867253140315e-10
1110002L01Rik	-0.552469220997007	3.53211367563682	12.0527790831863	0.000517152240267299	0.00159484558578064
1110002N22Rik	0.55839274221163	3.22297639151961	9.0704865920109	0.0025976793619016	0.00705261510661337
1110003E01Rik	-0.76104754240621	6.83612194003799	37.1391300150305	1.09994184412101e-09	7.34991187787348e-09
